Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2674,2674,,67,1.567164179,238.1791045,0,0,0,4.618090772,1,,20143,20143,20143,20143,1349581,0,0.412788449,Infinity,-0.445013035,0.124041654,8.393284254,2.968266151,1.562479951,2.827672394,67,50,0.336778732,0.858974359,6.108472218
ID2675,2675,73,207,370.47343,830.4202899,0,0,0,8.11727457,1,,19633,19633,19633,19633,4064031,0,1,Infinity,0.063973664,0.023921827,9.331048032,7.200155844,2.617056291,1.295950843,207,68,0.562551626,0.90989011,4.726326719
ID2676,2676,74,241,554.3900415,707,0,0,0,8.758577657,1,,20145,20145,20145,20145,4854945,0,0.959550597,Infinity,-0.063714957,0.077976463,12.78441019,5.915289727,2.799411271,2.161248354,241,80,0.473202393,0.914611006,5.153253011
ID2677,2677,75,171,1061.444444,340.5087719,0,0,0,7.377736139,1,,3256,3256,3256,3256,556776,0,1,Infinity,-0.001516513,-0.010584756,8.173310913,6.825767031,0.864111992,1.19742014,171,62,0.559013885,0.912,4.7412585
ID2679,2679,77,166,906.5481928,292.5361446,0,0,0,7.269074295,1,,6332,6332,6332,6332,1051112,0,0.412257248,Infinity,0.05751871,-0.032268068,9.083101908,5.89620757,2.268711009,1.540499007,166,62,0.54266845,0.912087912,4.812133259
ID2680,2680,78,362,513.679558,426.7790055,0,0,0,10.73443891,1,,20670,20670,20670,20670,7482540,0,0.891627813,Infinity,-0.035039871,-0.088908399,15.7860748,7.191348307,0.967529155,2.195148131,362,98,0.473659534,0.928205128,5.150765646
ID2681,2681,79,160,604.4625,725.9375,0,0,0,7.136496465,1,,24256,24256,24256,24256,3880960,0,1,Infinity,-0.00654947,0.024175432,8.667325676,5.980765323,-1.223358349,1.449200095,160,58,0.597687068,0.935672515,4.585302607
ID2682,2682,,349,15.66189112,241.8968481,0,0,0,10.53993123,1,,22210,22210,22210,22210,7751290,0,0.776453057,Infinity,-0.02086035,-0.344247554,15.01651568,7.591307318,1.911917274,1.978119848,349,90,0.541439919,0.912418301,4.817589548
ID2683,2683,80,158,455.6898734,376.6202532,0,0,0,7.091753099,1,,32450,32450,32450,32450,5127100,0,0.972825029,Infinity,0.031888991,-0.106717106,7.949512116,6.535091761,2.665393278,1.216434659,158,60,0.551524044,0.913294798,4.773343705
ID2684,2684,81,202,485.4356436,256.960396,0,0,0,8.018640596,1,,6851,6851,6851,6851,1383902,0,0.742802559,Infinity,-0.014300977,0.00284178,10.1662886,6.452311596,2.143784666,1.575604099,202,66,0.582738031,0.933025404,4.643743795
ID2685,2685,82,171,956.9239766,872.2690058,0,0,0,7.377736139,1,,20164,20164,20164,20164,3448044,0,0.999342838,Infinity,0.091912312,0.01190912,10.15442851,5.536225544,3.010625585,1.834178978,171,68,0.46471656,0.888311688,5.200089968
ID2686,2686,83,200,255.165,796.44,0,0,0,7.978845608,1,,31940,31940,31940,31940,6388000,0,1,Infinity,-0.082294688,0.023540168,10.08615918,6.410326558,1.642617588,1.573423615,200,66,0.576968348,0.921658986,4.666904756
ID2687,2687,84,180,843.4555556,362.8722222,0,0,0,7.569397566,1,,29383,29383,29383,29383,5288940,0,1,Infinity,0.018131406,-0.05094916,8.884157982,6.47159611,2.466664518,1.372792404,180,62,0.588435669,0.930232558,4.621207153
