Specie,CellDensity,Day,N,Condition,ID,Nitrite
PY1,10^3,16.58333333,2,Cat-,3,0
PY1,10^3,16.58333333,2,Cat-,4,0
PY1,10^3,16.58333333,2,Cat-,5,0
PY1,10^3,16.58333333,2,Cat-,6,0
PY1,10^3,16.58333333,2,Cat-,7,0
PY1,10^3,16.58333333,2,Cat-,8,0
PY1,10^3,16.58333333,2,Cat-,9,0
PY1,10^3,16.58333333,2,Cat-,10,0
PY1,10^3,16.58333333,2,Cat-,11,0
PY1,10^3,16.58333333,2,Cat-,12,0
PY1,10^3,16.58333333,2,Cat+,1,0
PY1,10^3,16.58333333,2,Cat+,2,0
PY1,10^3,16.58333333,2,Cat+,3,0
PY1,10^3,16.58333333,2,Cat+,4,0
PY1,10^3,16.58333333,2,Cat+,5,0
PY1,10^3,16.58333333,2,Cat+,6,0
PY1,10^3,16.58333333,2,Cat+,7,0
PY1,10^3,16.58333333,2,Cat+,8,0
PY1,10^3,16.58333333,2,Cat+,9,0
PY1,10^3,16.58333333,2,Cat+,10,0
PY1,10^3,16.58333333,2,Cat+,11,0
PY1,10^3,16.58333333,2,Cat+,12,0
PY1,10^3,16.58333333,3,Cat-,1,0
PY1,10^3,16.58333333,3,Cat-,2,0
PY1,10^3,16.58333333,3,Cat-,3,0
PY1,10^3,16.58333333,3,Cat-,4,0
PY1,10^3,16.58333333,3,Cat-,5,0
PY1,10^3,16.58333333,3,Cat-,6,0
PY1,10^3,16.58333333,3,Cat-,7,0
PY1,10^3,16.58333333,3,Cat-,8,0
PY1,10^3,16.58333333,3,Cat-,9,0
PY1,10^3,16.58333333,3,Cat-,10,0
PY1,10^3,16.58333333,3,Cat-,11,0
PY1,10^3,16.58333333,3,Cat-,12,0
PY1,10^3,16.58333333,3,Cat+,1,0
PY1,10^3,16.58333333,3,Cat+,2,0
PY1,10^3,16.58333333,3,Cat+,3,0
PY1,10^3,16.58333333,3,Cat+,4,0
PY1,10^3,16.58333333,3,Cat+,5,0
PY1,10^3,16.58333333,3,Cat+,6,0
PY1,10^3,16.58333333,3,Cat+,7,0
PY1,10^3,16.58333333,3,Cat+,8,0
PY1,10^3,16.58333333,3,Cat+,9,0
PY1,10^3,16.58333333,3,Cat+,10,0
PY1,10^3,16.58333333,3,Cat+,11,0
PY1,10^3,16.58333333,3,Cat+,12,0
PY1,10^5,25.91666667,1,Cat-,1,0.044254488
PY1,10^5,25.91666667,1,Cat-,2,0.051135421
PY1,10^5,25.91666667,1,Cat-,3,0.055149299
PY1,10^5,25.91666667,1,Cat-,4,0.084393267
PY1,10^5,25.91666667,1,Cat-,5,0.048268366
PY1,10^5,25.91666667,1,Cat-,6,0.058016355
PY1,10^5,25.91666667,1,Cat-,7,0.04540131
PY1,10^5,25.91666667,1,Cat-,8,0.051135421
PY1,10^5,25.91666667,1,Cat-,9,0.056869533
PY1,10^5,25.91666667,1,Cat-,10,0.045974721
PY1,10^5,25.91666667,1,Cat-,11,0.047121543
PY1,10^5,25.91666667,1,Cat-,12,0.049988599
PY1,10^5,25.91666667,1,Cat+,1,1
PY1,10^5,25.91666667,1,Cat+,2,1
PY1,10^5,25.91666667,1,Cat+,3,1
PY1,10^5,25.91666667,1,Cat+,4,1
PY1,10^5,25.91666667,1,Cat+,5,1
PY1,10^5,25.91666667,1,Cat+,6,1
PY1,10^5,25.91666667,1,Cat+,7,1
PY1,10^5,25.91666667,1,Cat+,8,1
PY1,10^5,25.91666667,1,Cat+,9,1
PY1,10^5,25.91666667,1,Cat+,10,1
PY1,10^5,25.91666667,1,Cat+,11,1
PY1,10^5,25.91666667,1,Cat+,12,1
PY1,10^5,25.91666667,2,Cat-,1,0.043107666
PY1,10^5,25.91666667,2,Cat-,2,0.051135421
PY1,10^5,25.91666667,2,Cat-,3,0.067764344
PY1,10^5,25.91666667,2,Cat-,4,0.052855655
